T(F_e-)_p,mol(susceptibility)_p,T(P_e-)_p,H_zeff,T(Mo_Val_e-)_p,interactive Donar electrons count,S_zeff,SphereEnergy,N_zeff,T_polari(α)_p,T(D_e-)_p,Cl_zeff,mol(R)_p,mol_ms(R)_p,T(S_e-)_p,interactive Acceptore electrons count,mol(orb_exponent),T(Mo_e-)_p,F_zeff,negative ionizable electrones count,C_zeff,T_hard(η)_p,Br_zeff,O_zeff,B_zeff,res
0,-54.73480000000002,77,43.86,133,7,0.0,0.054798128351363,11.502,26.89860000000001,0,0.0,26.89860000000001,4.953500000000001,140,24,278.5686999999999,217,0.0,24,59.584,278.5686999999999,0.0,4.453,0.0,5.293
0,-7.460700000000001,36,8.16,48,12,0.0,0.0452499816132798,0.0,2.6022,0,0.0,2.6022,0.5482,56,28,57.4129,92,0.0,28,3.136,57.4129,0.0,13.359000000000002,0.0,4.675
0,-11.7924,20,4.08,16,10,0.0,0.0047560936484388,3.834,5.6921,0,6.116,5.6921,1.016,22,14,57.4128,42,0.0,9,12.544,57.4128,0.0,0.0,0.0,4.672
0,-65.6627,83,39.78,121,14,0.0,0.0905786504288298,7.668,32.35510000000001,0,0.0,32.35510000000001,6.692900000000001,136,28,407.9984000000001,219,0.0,28,62.72,407.9984000000001,0.0,26.718000000000004,0.0,4.829
0,-53.99550000000002,72,32.64,108,17,0.0,0.0731789593673203,7.668,24.838000000000008,0,0.0,24.838000000000008,4.5326,120,49,291.4789,192,0.0,33,53.312000000000005,291.4789,0.0,22.265,0.0,4.638
0,-14.6679,44,10.2,70,10,0.0,0.014376326596826,7.668,6.0742,0,0.0,6.0742,1.1712,76,15,90.5369,120,0.0,15,9.408,90.5369,0.0,8.906,0.0,4.705
0,-44.528400000000005,79,27.54,95,8,10.964,0.0468767488677506,7.668,19.8752,0,6.116,19.8752,2.9958,110,15,153.36559999999997,189,0.0,14,31.36,153.36559999999997,0.0,0.0,0.0,4.989
0,-66.59250000000004,122,51.0,196,12,0.0,0.1138134628526982,11.502,31.74060000000001,0,0.0,31.74060000000001,6.283100000000001,212,32,394.0724000000001,334,0.0,24,62.72,394.0724000000001,0.0,26.718000000000004,0.0,5.436
0,-62.15400000000003,105,41.82,165,9,0.0,0.0785213363152496,7.668,29.778100000000016,0,0.0,29.778100000000016,5.916300000000001,180,41,369.78170000000006,285,0.0,29,59.584,369.78170000000006,0.0,26.718000000000004,0.0,5.356
0,-30.9387,49,25.5,71,12,0.0,0.0497076932439628,7.668,15.1138,0,6.116,15.1138,2.6812,78,10,147.94769999999997,127,0.0,9,34.496,147.94769999999997,0.0,0.0,0.0,5.165
0,-82.8831,106,61.2,152,12,0.0,0.1874866466409339,0.0,38.09640000000002,0,0.0,38.09640000000002,6.9488,172,23,452.67290000000014,278,0.0,23,84.672,452.67290000000014,0.0,44.53,0.0,5.276
0,-45.39370000000001,80,40.8,136,7,0.0,0.0459274988480265,7.668,22.449700000000007,0,0.0,22.449700000000007,4.1539,144,24,232.1965999999999,224,0.0,24,50.176,232.1965999999999,0.0,4.453,0.0,5.673
0,-39.072700000000005,78,16.32,74,9,5.482,0.0156485292603314,0.0,16.668999999999997,0,6.116,16.668999999999997,2.3476,94,35,143.55040000000002,172,0.0,34,18.816000000000003,143.55040000000002,0.0,17.812,0.0,4.944
0,-54.946100000000015,77,45.9,133,7,0.0,0.0694795149548634,7.668,27.29920000000001,0,0.0,27.29920000000001,5.193800000000001,140,24,294.36409999999995,217,0.0,24,59.584,294.36409999999995,0.0,8.906,0.0,5.649
0,-18.3648,28,14.28,26,14,0.0,0.1733713671243686,3.834,8.6315,0,6.116,8.6315,1.5594,34,30,94.9516,62,0.0,25,18.816000000000003,94.9516,0.0,4.453,0.0,4.644
0,-36.4768,89,35.7,145,14,0.0,0.090647653674731,7.668,17.139699999999998,0,0.0,17.139699999999998,3.2931,156,28,207.9079,245,0.0,28,34.496,207.9079,0.0,13.359000000000002,0.0,5.117
0,-19.8747,62,2.04,46,15,0.0,0.001038230795715,7.668,6.6472,0,6.116,6.6472,1.4301,70,16,163.4012,132,15.3,37,6.272,163.4012,0.0,17.812,0.0,4.655
0,-17.265900000000002,46,16.32,74,7,0.0,0.0358589495174942,0.0,7.575000000000001,0,0.0,7.575000000000001,1.4138,80,36,101.5757,126,0.0,24,15.68,101.5757,0.0,13.359000000000002,0.0,4.798
0,-37.787000000000006,100,40.8,170,14,0.0,0.0857216753323937,7.668,18.5968,0,0.0,18.5968,3.679,180,28,217.0792,280,0.0,28,37.632000000000005,217.0792,0.0,8.906,0.0,5.503
0,-46.78829999999999,54,22.44,72,13,0.0,0.067308044423258,0.0,21.366000000000003,0,0.0,21.366000000000003,3.9096,84,40,258.3549,138,0.0,28,47.04,258.3549,0.0,26.718000000000004,0.0,5.167
