SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\OC[C@@H]1O[C@H](c2ccccc2)C=C[C@@H]1Oc1ccc(OC)cc1)OC,5.328,9,41,29,12,35.7,0.0,53.312000000000005,3.834,31.171000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,89,0,0,237,133,28.359200000000005,377.0837000000001,6.0039,-57.99140000000001,28.359200000000005,377.0837000000001,0.0968292362827921
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21)OC,5.088,9,41,29,12,35.7,0.0,56.448,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,71,0,0,191,109,27.62890000000001,327.82620000000003,5.478700000000001,-56.36310000000002,27.62890000000001,327.82620000000003,0.0650223692620827
O=C(/C=C/c1ccc(Cl)cc1)C1=[SH]CC=C1,4.702,15,29,20,12,11.22,0.0,25.088,0.0,4.453,6.116,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,51,0,0,119,59,14.067799999999998,125.6003,2.3874000000000004,-29.8294,14.067799999999998,125.6003,0.0239742076561964
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21)OC,5.155,9,41,29,12,37.74,0.0,59.584,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,73,0,0,197,113,28.87210000000001,338.86690000000004,5.695100000000001,-58.81440000000002,28.87210000000001,338.86690000000004,0.0672020202502816
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2.O=C(O)/C=C\C(=O)O,4.716,15,47,35,12,28.56,0.0,37.632000000000005,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,10.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,90,0,0,222,114,24.173600000000004,237.2766,3.871,-56.110200000000006,24.173600000000004,237.2766,0.0862434153295685
COC(=O)/C(=C1\OC(=O)C(c2ccccc2)C1=O)c1ccccc1,4.864,7,36,24,12,14.28,0.0,21.952,0.0,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,58,0,0,154,86,10.9674,154.57189999999997,2.0678,-25.5081,10.9674,154.57189999999997,0.0264441604410868
COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-],4.706,13,37,51,30,12.24,0.0,6.272,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,50,0,0,130,70,5.737,110.411,1.176,-15.5562,5.737,110.411,0.0325771827559199
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C,5.488,7,24,24,12,45.9,0.0,47.04,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,93,0,0,265,165,22.326400000000003,250.2012999999999,4.328200000000001,-45.140900000000016,22.326400000000003,250.2012999999999,0.0814546805849206
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,5.413,18,38,30,12,33.660000000000004,0.0,62.72,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,63,0,0,179,111,26.48930000000001,264.9787999999999,4.6996,-54.352800000000016,26.48930000000001,264.9787999999999,0.0758916272852845
CCCCCCOc1ccccc1C(N)=O,4.905,13,41,29,12,19.38,0.0,21.952,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,37,0,0,101,59,10.3277,121.44969999999998,1.8864,-22.4859,10.3277,121.44969999999998,0.0506231283309618
Clc1ccc2[nH]c(-c3ccccc3)nc2c1,4.643,9,10,9,0,9.18,0.0,3.136,0.0,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,43,0,0,109,59,1.9101,24.6287,0.4965,-2.9799999999999995,1.9101,24.6287,0.0221010765102846
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)c1cc(-c2c(C)cc(C)cc2C)no1,5.412,7,24,24,12,40.8,0.0,37.632000000000005,7.668,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,96,0,0,272,168,17.4769,188.03379999999996,3.2883000000000004,-35.5885,17.4769,188.03379999999996,0.0581001906955854
c1cc2c3c(c1)ccc1cccc(c13)C2,5.45,4,4,4,12,10.2,0.0,3.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,30,0,0,90,60,1.2432,11.0407,0.2164,-2.4513,1.2432,11.0407,0.0169078449440981
CC(=O)OC1CC2C(C)(C)C(O)C=C[C@@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C4OC43[C@]12C,5.84,14,40,28,12,36.72,0.0,75.26400000000001,0.0,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,84,0,0,224,126,32.554800000000014,357.72119999999995,5.857200000000001,-68.85000000000002,32.554800000000014,357.72119999999995,0.0593480102571468
COc1c(O)cc2c(-c3ccccc3)cc(=O)oc2c1OC,4.727,12,28,28,12,14.28,0.0,6.272,0.0,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,54,0,0,142,78,4.2984,83.911,0.8752000000000001,-11.5818,4.2984,83.911,0.0489259848969494
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1.O=C(O)C(=O)O,4.704,14,49,33,12,35.7,0.0,50.176,3.834,31.171000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,83,0,0,219,121,23.7815,298.10299999999995,4.387,-52.89660000000002,23.7815,298.10299999999995,0.1008787801094679
CC(=O)OC[C@H]1O[C@@H](O/N=C(\C)CCN2CCc3nc(-c4ccccc4)c(-c4ccccc4)cc3C2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,5.045,8,41,29,12,43.86,0.0,65.85600000000001,7.668,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,125,0,0,329,181,35.41030000000002,480.86870000000016,7.351700000000001,-74.79320000000001,35.41030000000002,480.86870000000016,0.0767857599543825
