SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4.577,14,33,33,12,25.5,0.0,28.224,11.502,8.906,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,69,0,0,179,99,17.255000000000003,178.26039999999998,2.8855,-39.38340000000001,17.255000000000003,178.26039999999998,0.0692427593817862
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/OC[C@@H](O)COCc1ccco1)C2,5.153,14,28,28,12,35.7,0.0,47.04,7.668,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,73,0,0,197,113,22.112500000000004,252.07069999999996,4.1587,-46.282,22.112500000000004,252.07069999999996,0.0794800658462538
CCNc1cc(O)ccc1C,4.769,15,25,25,12,13.26,0.0,9.408,3.834,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,25,0,0,69,41,4.9019,61.8295,0.9102,-11.0109,4.9019,61.8295,0.05981664178515
Oc1cccc(Nc2ccccc2)c1,4.713,15,25,25,0,11.22,0.0,0.0,3.834,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,31,0,0,87,53,1.1723,28.7074,0.261,-3.657,1.1723,28.7074,0.0609430513728577
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cn([C@H](CO)Cc3ccccc3)nn1)C2,5.53,14,28,28,12,40.8,0.0,50.176,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,84,0,0,232,138,23.569600000000005,261.2419999999999,4.5446,-47.592200000000005,23.569600000000005,261.2419999999999,0.0737802023602819
CCN(CC)c1cccc(O)c1,4.766,12,25,25,12,15.3,0.0,12.544,3.834,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,27,0,0,75,45,6.1451,72.87020000000001,1.1266,-13.4622,6.1451,72.87020000000001,0.0538026541650237
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/OCC[C@@H]1C=C[C@H](OC(C)=O)[C@H](COC(C)=O)O1)C2,5.3,9,41,29,12,41.82,0.0,72.128,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,89,0,0,237,133,34.750900000000016,413.94450000000006,6.7819,-71.95920000000001,34.750900000000016,413.94450000000006,0.0664386103413364
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,5.077,11,15,14,12,26.52,0.0,34.496,11.502,0.0,12.232,0.0,0.0,15.3,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,98,0,0,224,100,19.745600000000007,222.41719999999995,3.3512000000000004,-45.26490000000001,19.745600000000007,222.41719999999995,0.0559235883625242
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)CN1CCCCc3nc(C)c(C)cc31)C2,5.315,7,24,24,12,45.9,0.0,62.72,11.502,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,79,0,0,223,137,28.14180000000001,289.60939999999994,5.169900000000001,-57.186100000000025,28.14180000000001,289.60939999999994,0.0569382914476059
COc1cc(O)cc(OC)c1OC,4.703,12,23,23,12,12.24,0.0,9.408,0.0,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,34,0,0,86,44,5.5416,94.9517,1.0916,-14.0331,5.5416,94.9517,0.069422734948309
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)CN1CCCc3nc(C)c(C)cc31)C2,5.293,7,24,24,12,43.86,0.0,59.584,11.502,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,77,0,0,217,133,26.89860000000001,278.5686999999999,4.953500000000001,-54.73480000000002,26.89860000000001,278.5686999999999,0.054798128351363
Cc1cc(=O)oc2c(O)c(O)ccc12,4.675,12,28,28,12,8.16,0.0,3.136,0.0,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,36,0,0,92,48,2.6022,57.4129,0.5482,-7.460700000000001,2.6022,57.4129,0.0452499816132798
N#CCCCl,4.672,10,14,9,12,4.08,0.0,12.544,3.834,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,20,0,0,42,16,5.6921,57.4128,1.016,-11.7924,5.6921,57.4128,0.0047560936484388
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/OC[C@@H](O)[C@@H]1O[C@@H]3OC(C)(C)O[C@@H]3[C@H]1O)C2,4.829,14,28,28,12,39.78,0.0,62.72,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,83,0,0,219,121,32.35510000000001,407.9984000000001,6.692900000000001,-65.6627,32.35510000000001,407.9984000000001,0.0905786504288298
